obsid,xid,dist_pc,wave,star_mjy,chi_star,ra_obs,de_obs,level,path
1342188887,2MASS J00313267-6257297,41.407867494824025,70,12.217,,7.886632264522522,-62.9583722867584,level2_5,/data/wyatt_archive/gkennedy/hsa/auto/AIOURL278292737/1342188887/level2_5/HPPHPFMAPB/hpacs_25HPPHPFMAPB_blue_0032_m6258_00_v1.0_1470539106916.fits.gz
1342189150,BD+05 378,44.437334470929095,70,1.5849099999999998,1.73574,40.35809037930499,5.988284428384075,level2_5,/data/wyatt_archive/gkennedy/hsa/auto/AIOURL278292738/1342189150/level2_5/HPPHPFMAPB/hpacs_25HPPHPFMAPB_blue_0241_p0559_00_v1.0_1470551564509.fits.gz
1342189163,TYC 7201-27-1,46.080613425125925,70,2.52603,-0.101262,167.30721291198978,-30.027822037383558,level2,/data/wyatt_archive/gkennedy/hsa/auto/AIOURL278292740/1342189163/level2/HPPPMAPB/hpacs1342189163_20hpppmapb_00_1469248360747.fits.gz
1342189193,TYC 1777-1480-1,39.26187671770711,70,2.65904,11.232000000000001,34.35334482810001,28.74158151775753,level2,/data/wyatt_archive/gkennedy/hsa/auto/AIOURL278292743/1342189193/level2/HPPPMAPB/hpacs1342189193_20hpppmapb_00_1469252328815.fits.gz
1342189210,BD+30 397B,,70,0.916053,1.2606600000000001,36.86716706442253,30.977671968357853,level2,/data/wyatt_archive/gkennedy/hsa/auto/AIOURL278292745/1342189210/level2/HPPPMAPB/hpacs1342189210_20hpppmapb_00_1469254389031.fits.gz
1342189210,V* AG Tri,41.08463434675432,70,1.3360100000000001,18.1498,36.872152591000045,30.97329672773456,level2,/data/wyatt_archive/gkennedy/hsa/auto/AIOURL278292745/1342189210/level2/HPPPMAPB/hpacs1342189210_20hpppmapb_00_1469254389031.fits.gz
1342189365,2MASS J08361072-7908183,98.49596659016814,70,0.0874375,2.39741,129.04415083940032,-79.13835435724499,level2_5,/data/wyatt_archive/gkennedy/hsa/auto/AIOURL278292746/1342189365/level2_5/HPPHPFMAPB/hpacs_25HPPHPFMAPB_blue_0836_m7908_00_v1.0_1470567379019.fits.gz
1342189366,2MASS J08431857-7905181,,70,5.94457,,130.82702051725292,-79.08831337030105,level2,/data/wyatt_archive/gkennedy/hsa/auto/AIOURL278292748/1342189366/level2/HPPPMAPB/hpacs1342189366_20hpppmapb_00_1469256206012.fits.gz
1342189367,HD 75505,94.96676163342829,70,1.28253,2.02237,130.43581951668975,-79.04805136856451,level2_5,/data/wyatt_archive/gkennedy/hsa/auto/AIOURL278292749/1342189367/level2_5/HPPHPFMAPB/hpacs_25HPPHPFMAPB_blue_0842_m7903_00_v1.0_1470568281301.fits.gz
1342189368,2MASS J08413030-7853064,,70,0.0978511,4.03161,130.3758611612009,-78.88505458585477,level2,/data/wyatt_archive/gkennedy/hsa/auto/AIOURL278292751/1342189368/level2/HPPPMAPB/hpacs1342189368_20hpppmapb_00_1469256495069.fits.gz
