"obsid","xid","dist_pc","filter","wave","model_jy","star_jy","chi_star","ra_obs","de_obs"
1342270949,"HD 218340",56.59309564233163,"PACS70",70,0.0147781,0.00137496,,347.0524082250816,-63.6283927629624
1342230065,"V* BI Ind",312.05142607501716,"PACS100",100,1.34789,0.00929471,39.3254,348.4703553681474,-68.29136269800962
1342230065,"V* BI Ind",312.05142607501716,"PACS70",70,2.4891,0.0187717,38.3857,348.4703553681474,-68.29136269800962
1342221336,"HD 233517",878.8890841975743,"PACS100",100,4.92582,0.00106857,39.6154,125.69463472064697,53.08035107692166
1342221336,"HD 233517",878.8890841975743,"PACS70",70,6.90573,0.00216345,38.6535,125.69463472064697,53.08035107692166
1342269646,"HD 25402",52.00694812826993,"PACS100",100,0.000853436,0.000740148,,60.133605949772175,-41.74844081259306
1342269646,"HD 25402",52.00694812826993,"PACS70",70,0.00178471,0.00150094,2.98013,60.133605949772175,-41.74844081259306
1342269668,"HD 272836",84.39103429651634,"PACS100",100,0.0002155,0.0002155,,73.27183051286929,-48.74403483592649
1342269668,"HD 272836",84.39103429651634,"PACS70",70,0.000436919,0.000436919,2.71319,73.27183051286929,-48.74403483592649
1342269252,"HD 274561",102.37615045199071,"PACS100",100,0.000109987,0.000109987,,82.22967415398753,-45.582846575185016
1342269252,"HD 274561",102.37615045199071,"PACS70",70,0.000222578,0.000222578,2.45079,82.22967415398753,-45.582846575185016
1342242571,"HD 30957",37.60416353298637,"PACS100",100,0.00121027,0.00121027,,74.1088548229871,64.40246364373982
1342242571,"HD 30957",37.60416353298637,"PACS70",70,0.00245464,0.00245464,1.15344,74.1088548229871,64.40246364373982
1342269666,"HD 31242",84.44590817351944,"PACS100",100,0.00024228,0.00024228,,72.97324406808691,-46.786982349999235
1342269666,"HD 31242",84.44590817351944,"PACS70",70,0.000492085,0.000492085,2.088,72.97324406808691,-46.786982349999235
1342270959,"HD 31392",25.76655501159495,"PACS100",100,0.0889162,0.00213154,5.06808,73.51811758336967,-35.40393696298557
1342270959,"HD 31392",25.76655501159495,"PACS70",70,0.0725517,0.00431894,,73.51811758336967,-35.40393696298557
1342269652,"HR 1621",60.48252962131888,"PACS100",100,0.00377596,0.00377596,,75.35673162361863,-20.05197593777919
1342269652,"HR 1621",60.48252962131888,"PACS70",70,0.00769266,0.00769266,0.545733,75.35673162361863,-20.05197593777919
1342269664,"HD 32372",77.96723816652242,"PACS100",100,0.000328866,0.000328866,,75.2162686344143,-41.01849591703546
1342269664,"HD 32372",77.96723816652242,"PACS70",70,0.000666801,0.000666801,4.1271,75.2162686344143,-41.01849591703546
1342236602,"HD 3405",44.40497335701599,"PACS100",100,0.0030583,0.0030583,,9.160212196891628,-49.13277296657551
1342236602,"HD 3405",44.40497335701599,"PACS70",70,0.00620006,0.00620006,0.340726,9.160212196891628,-49.13277296657551
1342269662,"HD 35996",92.0700100356311,"PACS100",100,0.000957787,0.000516699,,81.60018026429736,-43.37570675740611
